time,side,size,entry,exit,reason,tp,sl,pnl,entry_comm,exit_comm,trailing_active,trailing_stop,trail_ticks
2025-10-27 07:09:00-04:00,long,15,25847.25,25846.25,cross,25869.75,25846.5,-52.2,11.1,11.1,False,25846.5,
2025-10-27 07:11:00-04:00,short,11,25840.0,25841.25,cross,25827.5,25841.0,-43.78,8.14,8.14,False,25841.0,
2025-10-27 08:03:00-04:00,long,15,25826.75,25831.75,cross,25854.75,25832.0,127.8,11.1,11.1,True,25832.0,
2025-10-27 08:32:00-04:00,short,11,25826.75,25825.5,cross,25812.75,25825.25,11.219999999999999,8.14,8.14,True,25825.25,
2025-10-27 08:48:00-04:00,long,15,25834.75,25834.75,cross,25861.0,25835.0,-22.2,11.1,11.1,False,25835.0,
2025-10-27 08:57:00-04:00,short,11,25830.75,25832.0,cross,25819.0,25831.75,-43.78,8.14,8.14,False,25831.75,
2025-10-27 09:04:00-04:00,long,15,25835.0,25837.5,cross,25860.5,25837.75,52.8,11.1,11.1,True,25837.75,
2025-10-27 09:18:00-04:00,short,11,25830.25,25827.25,cross,25818.25,25827.0,49.72,8.14,8.14,True,25827.0,
2025-10-27 09:31:00-04:00,long,13,25847.5,25858.5,cross,25903.5,25858.75,266.76,9.62,9.62,True,25858.75,
2025-10-27 09:36:00-04:00,short,6,25808.5,25800.5,cross,25769.0,25800.25,87.12,4.4399999999999995,4.4399999999999995,True,25800.25,
2025-10-27 09:40:00-04:00,long,8,25839.5,25840.5,cross,25924.75,25840.75,4.16,5.92,5.92,True,25840.75,
2025-10-27 09:42:00-04:00,short,5,25813.75,25813.0,cross,25766.75,25812.75,0.09999999999999964,3.7,3.7,True,25812.75,
2025-10-27 09:48:00-04:00,long,7,25842.5,25848.75,cross,25937.0,25849.0,77.14,5.18,5.18,True,25849.0,
2025-10-27 09:51:00-04:00,short,5,25819.25,25809.5,cross,25771.25,25809.25,90.1,3.7,3.7,True,25809.25,
2025-10-27 09:53:00-04:00,long,7,25837.5,25840.5,cross,25935.25,25840.75,31.64,5.18,5.18,True,25840.75,
2025-10-27 10:18:00-04:00,short,6,25839.5,25838.0,cross,25798.25,25837.75,9.120000000000001,4.4399999999999995,4.4399999999999995,True,25837.75,
2025-10-27 10:30:00-04:00,long,8,25868.75,25869.75,cross,25954.5,25870.0,4.16,5.92,5.92,True,25870.0,
2025-10-27 10:54:00-04:00,short,8,25860.25,25860.25,cross,25827.0,25860.0,-11.84,5.92,5.92,False,25860.0,
2025-10-27 11:04:00-04:00,long,11,25884.5,25886.75,cross,25952.5,25887.0,33.22,8.14,8.14,True,25887.0,
2025-10-27 11:55:00-04:00,short,11,25890.75,25889.5,cross,25870.0,25889.25,11.219999999999999,8.14,8.14,True,25889.25,
2025-10-27 12:02:00-04:00,long,15,25902.5,25904.5,cross,25943.25,25904.75,37.8,11.1,11.1,True,25904.75,
2025-10-27 12:21:00-04:00,short,11,25898.75,25897.75,cross,25883.5,25897.5,5.719999999999999,8.14,8.14,True,25897.5,
2025-10-27 12:25:00-04:00,long,15,25904.75,25903.75,cross,25934.75,25904.0,-52.2,11.1,11.1,False,25904.0,
2025-10-27 12:30:00-04:00,short,11,25903.0,25904.0,cross,25890.0,25903.75,-38.28,8.14,8.14,False,25903.75,
2025-10-27 12:31:00-04:00,long,15,25906.5,25907.25,cross,25933.25,25907.5,0.3000000000000007,11.1,11.1,True,25907.5,
2025-10-27 12:46:00-04:00,short,11,25902.25,25903.75,cross,25887.5,25903.5,-49.28,8.14,8.14,False,25903.5,
2025-10-27 12:51:00-04:00,long,15,25909.75,25908.25,cross,25938.0,25908.5,-67.2,11.1,11.1,False,25908.5,
