time,side,size,entry,exit,reason,tp,sl,pnl,entry_comm,exit_comm,trailing_active,trailing_stop,trail_ticks
2025-10-26 18:25:00-04:00,long,5,25729.25,25735.5,cross,25876.25,25735.5,55.1,3.7,3.7,True,25735.5,
2025-10-26 18:44:00-04:00,short,7,25729.25,25725.0,cross,25693.75,25725.0,49.14,5.18,5.18,True,25725.0,
2025-10-26 19:02:00-04:00,long,14,25740.5,25724.5,cross,25791.0,25723.75,-468.72,10.36,10.36,False,,
2025-10-26 19:13:00-04:00,short,11,25724.5,25723.5,cross,25703.75,25723.5,5.719999999999999,8.14,8.14,True,25723.5,
2025-10-26 19:35:00-04:00,long,15,25731.5,25733.5,cross,25759.5,25733.5,37.8,11.1,11.1,True,25733.5,
2025-10-26 19:47:00-04:00,short,11,25724.25,25721.5,cross,25711.5,25721.5,44.22,8.14,8.14,True,25721.5,
2025-10-26 20:05:00-04:00,long,15,25727.0,25729.75,cross,25763.5,25729.75,60.3,11.1,11.1,True,25729.75,
2025-10-26 20:48:00-04:00,short,11,25730.0,25727.25,cross,25714.5,25727.25,44.22,8.14,8.14,True,25727.25,
2025-10-26 21:23:00-04:00,long,15,25726.0,25727.0,cross,25750.5,25727.0,7.800000000000001,11.1,11.1,True,25727.0,
2025-10-26 21:49:00-04:00,short,11,25721.75,25718.75,cross,25712.25,25718.75,49.72,8.14,8.14,True,25718.75,
2025-10-26 22:04:00-04:00,long,15,25724.25,25717.25,cross,25745.5,25717.25,-232.2,11.1,11.1,False,,
2025-10-26 22:09:00-04:00,short,11,25715.75,25713.25,cross,25705.0,25713.25,38.72,8.14,8.14,True,25713.25,
2025-10-26 22:16:00-04:00,long,15,25725.0,25727.25,cross,25747.75,25727.25,45.3,11.1,11.1,True,25727.25,
2025-10-26 23:43:00-04:00,short,11,25763.5,25761.0,cross,25754.0,25761.0,38.72,8.14,8.14,True,25761.0,
2025-10-27 00:26:00-04:00,long,15,25764.0,25765.0,cross,25783.25,25765.0,7.800000000000001,11.1,11.1,True,25765.0,
2025-10-27 00:50:00-04:00,short,11,25760.5,25759.0,cross,25752.5,25759.0,16.72,8.14,8.14,True,25759.0,
2025-10-27 01:01:00-04:00,long,15,25762.5,25765.25,cross,25777.0,25765.25,60.3,11.1,11.1,True,25765.25,
2025-10-27 02:42:00-04:00,short,11,25788.75,25795.25,cross,25776.0,25795.25,-159.28,8.14,8.14,False,,
2025-10-27 03:09:00-04:00,long,15,25793.5,25794.75,cross,25820.75,25794.75,15.3,11.1,11.1,True,25794.75,
2025-10-27 03:44:00-04:00,short,11,25803.75,25800.75,cross,25791.25,25800.75,49.72,8.14,8.14,True,25800.75,
2025-10-27 04:41:00-04:00,long,15,25787.25,25788.75,cross,25822.5,25788.75,22.8,11.1,11.1,True,25788.75,
2025-10-27 05:25:00-04:00,short,11,25798.5,25795.75,cross,25786.5,25795.75,44.22,8.14,8.14,True,25795.75,
2025-10-27 05:34:00-04:00,long,15,25805.0,25810.5,cross,25831.5,25810.5,142.8,11.1,11.1,True,25810.5,
2025-10-27 06:57:00-04:00,short,11,25841.25,25838.5,cross,25831.5,25838.5,44.22,8.14,8.14,True,25838.5,
2025-10-27 07:09:00-04:00,long,15,25847.0,25839.5,cross,25869.5,25839.5,-247.2,11.1,11.1,False,,
2025-10-27 07:11:00-04:00,short,11,25840.25,25831.5,cross,25827.75,25831.5,176.22,8.14,8.14,True,25831.5,
